epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1463.89,1.44041,1.30204,1.45631,0.43758,0.53145,0.48364,0.2275,1.80548,1.5665,1.75307,0.00121591,0.00121591,0.00121591
43,1496.14,1.45496,1.30496,1.44814,0.53322,0.43546,0.46452,0.23205,1.87384,1.57939,1.82175,0.00120491,0.00120491,0.00120491
44,1533.56,1.44809,1.26918,1.44486,0.47117,0.52282,0.47318,0.22584,1.80817,1.59289,1.7371,0.00119391,0.00119391,0.00119391
45,1567.64,1.40276,1.23491,1.42215,0.5421,0.53716,0.52244,0.24178,1.82519,1.53209,1.80508,0.0011829,0.0011829,0.0011829
46,1602.93,1.39957,1.2151,1.40927,0.46349,0.50989,0.46704,0.21687,1.7913,1.583,1.78469,0.0011719,0.0011719,0.0011719
47,1636.68,1.41408,1.2633,1.42906,0.52234,0.49874,0.47292,0.22893,1.81006,1.57135,1.81292,0.0011609,0.0011609,0.0011609
48,1669.88,1.38587,1.18318,1.41427,0.5262,0.5224,0.49636,0.23748,1.80602,1.55853,1.75872,0.0011499,0.0011499,0.0011499
49,1701.56,1.37409,1.19575,1.40677,0.50115,0.55279,0.5134,0.23748,1.75884,1.56426,1.7423,0.00113889,0.00113889,0.00113889
50,1733.55,1.36707,1.17,1.40213,0.46366,0.5324,0.47832,0.21972,1.83069,1.70493,1.79927,0.00112789,0.00112789,0.00112789
51,1765.59,1.36943,1.15789,1.39378,0.52515,0.44847,0.47279,0.21051,1.83603,1.60352,1.77415,0.00111689,0.00111689,0.00111689
52,1799.7,1.37376,1.13942,1.40903,0.50557,0.52311,0.48757,0.22811,1.81404,1.53785,1.75804,0.00110589,0.00110589,0.00110589
53,1833.72,1.37127,1.12762,1.38509,0.56509,0.48278,0.48452,0.22835,1.87332,1.57404,1.80578,0.00109489,0.00109489,0.00109489
54,1869.36,1.35535,1.12806,1.38601,0.44472,0.47765,0.45622,0.22918,1.79938,1.61569,1.77075,0.00108388,0.00108388,0.00108388
55,1903.85,1.31277,1.08031,1.35169,0.49831,0.56323,0.50256,0.23953,1.7641,1.47558,1.74946,0.00107288,0.00107288,0.00107288
56,1938.49,1.31447,1.11144,1.36298,0.50484,0.50578,0.48156,0.22571,1.82596,1.52325,1.81173,0.00106188,0.00106188,0.00106188
57,1972.46,1.31177,1.10866,1.36134,0.56119,0.47644,0.49166,0.22874,1.85577,1.50729,1.84459,0.00105088,0.00105088,0.00105088
58,2006.31,1.27129,1.03568,1.32937,0.45928,0.53998,0.46634,0.22594,1.86475,1.5196,1.8221,0.00103987,0.00103987,0.00103987
59,2038.42,1.30014,1.03572,1.3578,0.5183,0.53426,0.48743,0.23284,1.8479,1.54276,1.81829,0.00102887,0.00102887,0.00102887
60,2071.21,1.29498,1.06677,1.35031,0.48392,0.52535,0.49935,0.23016,1.82921,1.49162,1.81065,0.00101787,0.00101787,0.00101787
61,2105.03,1.26401,1.00894,1.31153,0.51231,0.48438,0.43097,0.19734,1.91405,1.68901,1.87447,0.00100687,0.00100687,0.00100687
62,2138.57,1.28907,1.01517,1.33755,0.59193,0.54828,0.5163,0.23584,1.86258,1.44917,1.83879,0.000995866,0.000995866,0.000995866
63,2175.45,1.28323,1.03928,1.32941,0.50185,0.45469,0.44233,0.20654,1.83634,1.56201,1.8346,0.000984864,0.000984864,0.000984864
64,2209.15,1.25103,1.01199,1.31468,0.50827,0.51506,0.47256,0.21587,1.87653,1.53267,1.84056,0.000973861,0.000973861,0.000973861
65,2243.07,1.23915,1.01827,1.31271,0.46294,0.55067,0.46998,0.21734,1.83025,1.55497,1.83676,0.000962859,0.000962859,0.000962859
66,2274.55,1.22146,0.98978,1.29548,0.53277,0.49473,0.46312,0.22305,1.87155,1.58713,1.86448,0.000951857,0.000951857,0.000951857
67,2307.2,1.20279,0.9588,1.27789,0.46917,0.49958,0.44985,0.21066,1.87385,1.62649,1.84917,0.000940855,0.000940855,0.000940855
68,2341.04,1.17146,0.90956,1.26196,0.58779,0.49725,0.4801,0.21514,1.93462,1.59816,1.94039,0.000929853,0.000929853,0.000929853
69,2375.33,1.2028,0.93882,1.28447,0.50388,0.54711,0.47369,0.2132,1.84606,1.52685,1.82894,0.00091885,0.00091885,0.00091885
70,2408.55,1.20586,0.93559,1.28397,0.49712,0.55537,0.49176,0.23507,1.86734,1.46743,1.86343,0.000907848,0.000907848,0.000907848
